Order ID,22,Exported Date,31/05/2023 1:06:28 pm,

Order Line ID,Parent Voucher Type,Voucher Type,Serial Number,Random Serial,Random Digits,Barcode,Booklet Identifier,PIN
45,98020,98020,1576,0195397,3136,9802001953973136,980200001576,NULL
45,98020,98020,1577,8204961,9362,9802082049619362,980200001577,NULL
45,98020,98020,1578,5092211,2847,9802050922112847,980200001578,NULL
45,98020,98020,1579,7544722,3373,9802075447223373,980200001579,NULL
45,98020,98020,1580,3942349,4325,9802039423494325,980200001580,NULL
45,98020,98020,1581,0414639,6199,9802004146396199,980200001581,NULL
45,98020,98020,1582,3757874,9220,9802037578749220,980200001582,NULL
45,98020,98020,1583,0970541,3103,9802009705413103,980200001583,NULL
45,98020,98020,1584,6698983,5989,9802066989835989,980200001584,NULL
45,98020,98020,1585,1635932,2670,9802016359322670,980200001585,NULL
45,98020,98020,1586,2461164,6407,9802024611646407,980200001586,NULL
45,98020,98020,1587,5219844,3534,9802052198443534,980200001587,NULL
45,98020,98020,1588,2926121,3861,9802029261213861,980200001588,NULL
45,98020,98020,1589,3499111,2433,9802034991112433,980200001589,NULL
45,98020,98020,1590,7398712,2758,9802073987122758,980200001590,NULL
45,98020,98020,1591,6870837,9190,9802068708379190,980200001591,NULL
45,98020,98020,1592,4500763,7650,9802045007637650,980200001592,NULL
45,98020,98020,1593,2401621,9677,9802024016219677,980200001593,NULL
45,98020,98020,1594,9844582,3994,9802098445823994,980200001594,NULL
45,98020,98020,1595,9942628,3349,9802099426283349,980200001595,NULL
45,98020,98020,1596,5480185,7027,9802054801857027,980200001596,NULL
45,98020,98020,1597,0433381,6694,9802004333816694,980200001597,NULL
45,98020,98020,1598,1465438,7175,9802014654387175,980200001598,NULL
45,98020,98020,1599,7109672,8325,9802071096728325,980200001599,NULL
45,98020,98020,1600,1989013,2780,9802019890132780,980200001600,NULL
45,98020,98020,1601,5540737,8144,9802055407378144,980200001601,NULL
45,98020,98020,1602,7125452,4672,9802071254524672,980200001602,NULL
45,98020,98020,1603,6454144,8599,9802064541448599,980200001603,NULL
45,98020,98020,1604,6605428,2778,9802066054282778,980200001604,NULL
45,98020,98020,1605,8491279,2961,9802084912792961,980200001605,NULL
45,98020,98020,1606,1041191,4046,9802010411914046,980200001606,NULL
45,98020,98020,1607,6589218,2430,9802065892182430,980200001607,NULL
45,98020,98020,1608,0606590,1503,9802006065901503,980200001608,NULL
45,98020,98020,1609,8301243,6198,9802083012436198,980200001609,NULL
45,98020,98020,1610,2780566,2833,9802027805662833,980200001610,NULL
45,98020,98020,1611,4802662,2687,9802048026622687,980200001611,NULL
45,98020,98020,1612,3901646,9486,9802039016469486,980200001612,NULL
45,98020,98020,1613,5180934,5864,9802051809345864,980200001613,NULL
45,98020,98020,1614,4232957,6955,9802042329576955,980200001614,NULL
45,98020,98020,1615,5805008,2492,9802058050082492,980200001615,NULL
45,98020,98020,1616,5581777,1425,9802055817771425,980200001616,NULL
45,98020,98020,1617,9077440,1427,9802090774401427,980200001617,NULL
45,98020,98020,1618,2536046,8034,9802025360468034,980200001618,NULL
45,98020,98020,1619,7709905,4767,9802077099054767,980200001619,NULL
45,98020,98020,1620,0674222,4840,9802006742224840,980200001620,NULL
45,98020,98020,1621,1216371,7569,9802012163717569,980200001621,NULL
45,98020,98020,1622,4608411,6014,9802046084116014,980200001622,NULL
45,98020,98020,1623,0574742,9248,9802005747429248,980200001623,NULL
45,98020,98020,1624,8413691,7824,9802084136917824,980200001624,NULL
45,98020,98020,1625,7959618,7546,9802079596187546,980200001625,NULL
45,98020,98020,1626,5667244,7804,9802056672447804,980200001626,NULL
45,98020,98020,1627,0182986,1572,9802001829861572,980200001627,NULL
45,98020,98020,1628,8086378,7042,9802080863787042,980200001628,NULL
45,98020,98020,1629,3214256,0450,9802032142560450,980200001629,NULL
45,98020,98020,1630,9051632,5561,9802090516325561,980200001630,NULL
45,98020,98020,1631,0893774,1190,9802008937741190,980200001631,NULL
45,98020,98020,1632,8380100,2938,9802083801002938,980200001632,NULL
45,98020,98020,1633,7377780,9648,9802073777809648,980200001633,NULL
45,98020,98020,1634,4431705,7121,9802044317057121,980200001634,NULL
45,98020,98020,1635,1861703,7355,9802018617037355,980200001635,NULL
45,98020,98020,1636,6763037,0046,9802067630370046,980200001636,NULL
45,98020,98020,1637,2442250,8697,9802024422508697,980200001637,NULL
45,98020,98020,1638,3961533,5237,9802039615335237,980200001638,NULL
45,98020,98020,1639,0685083,7052,9802006850837052,980200001639,NULL
45,98020,98020,1640,7224756,1565,9802072247561565,980200001640,NULL
45,98020,98020,1641,2901321,5370,9802029013215370,980200001641,NULL
45,98020,98020,1642,9157528,7676,9802091575287676,980200001642,NULL
45,98020,98020,1643,9391042,2562,9802093910422562,980200001643,NULL
45,98020,98020,1644,4698945,1813,9802046989451813,980200001644,NULL
45,98020,98020,1645,8596388,6339,9802085963886339,980200001645,NULL
45,98020,98020,1646,2671044,5979,9802026710445979,980200001646,NULL
45,98020,98020,1647,6474569,9047,9802064745699047,980200001647,NULL
45,98020,98020,1648,0548451,1786,9802005484511786,980200001648,NULL
45,98020,98020,1649,6863852,7686,9802068638527686,980200001649,NULL
45,98020,98020,1650,8500500,6482,9802085005006482,980200001650,NULL
45,98020,98020,1651,8437292,8816,9802084372928816,980200001651,NULL
45,98020,98020,1652,5962578,8282,9802059625788282,980200001652,NULL
45,98020,98020,1653,7463005,4976,9802074630054976,980200001653,NULL
45,98020,98020,1654,4714221,7844,9802047142217844,980200001654,NULL
45,98020,98020,1655,2116800,7777,9802021168007777,980200001655,NULL
45,98020,98020,1656,9184328,8894,9802091843288894,980200001656,NULL
45,98020,98020,1657,0847097,9207,9802008470979207,980200001657,NULL
45,98020,98020,1658,9086945,7250,9802090869457250,980200001658,NULL
45,98020,98020,1659,3115274,1364,9802031152741364,980200001659,NULL
45,98020,98020,1660,5778315,8090,9802057783158090,980200001660,NULL
45,98020,98020,1661,1852698,9613,9802018526989613,980200001661,NULL
45,98020,98020,1662,0533714,7200,9802005337147200,980200001662,NULL
45,98020,98020,1663,3158118,0804,9802031581180804,980200001663,NULL
45,98020,98020,1664,6891748,4005,9802068917484005,980200001664,NULL
45,98020,98020,1665,8477888,0124,9802084778880124,980200001665,NULL
45,98020,98020,1666,9979283,9401,9802099792839401,980200001666,NULL
45,98020,98020,1667,5614769,0970,9802056147690970,980200001667,NULL
45,98020,98020,1668,5732235,8623,9802057322358623,980200001668,NULL
45,98020,98020,1669,2029648,8156,9802020296488156,980200001669,NULL
45,98020,98020,1670,7345494,5681,9802073454945681,980200001670,NULL
45,98020,98020,1671,7084592,2593,9802070845922593,980200001671,NULL
45,98020,98020,1672,5598307,7813,9802055983077813,980200001672,NULL
45,98020,98020,1673,0530467,3949,9802005304673949,980200001673,NULL
45,98020,98020,1674,7917247,7808,9802079172477808,980200001674,NULL
45,98020,98020,1675,8759207,8510,9802087592078510,980200001675,NULL
45,98020,98020,1676,8283770,0713,9802082837700713,980200001676,NULL
45,98020,98020,1677,2100197,3292,9802021001973292,980200001677,NULL
45,98020,98020,1678,7688591,5819,9802076885915819,980200001678,NULL
45,98020,98020,1679,3134721,1000,9802031347211000,980200001679,NULL
45,98020,98020,1680,8566150,8912,9802085661508912,980200001680,NULL
45,98020,98020,1681,4528947,4426,9802045289474426,980200001681,NULL
45,98020,98020,1682,1747581,2255,9802017475812255,980200001682,NULL
45,98020,98020,1683,3983237,0223,9802039832370223,980200001683,NULL
45,98020,98020,1684,7015539,0647,9802070155390647,980200001684,NULL
45,98020,98020,1685,5333679,5306,9802053336795306,980200001685,NULL
45,98020,98020,1686,8593902,7018,9802085939027018,980200001686,NULL
45,98020,98020,1687,4408464,0836,9802044084640836,980200001687,NULL
45,98020,98020,1688,1958421,4241,9802019584214241,980200001688,NULL
45,98020,98020,1689,7505602,9673,9802075056029673,980200001689,NULL
45,98020,98020,1690,5946587,7583,9802059465877583,980200001690,NULL
45,98020,98020,1691,6325809,1402,9802063258091402,980200001691,NULL
45,98020,98020,1692,3748736,3246,9802037487363246,980200001692,NULL
45,98020,98020,1693,2416329,8623,9802024163298623,980200001693,NULL
45,98020,98020,1694,3104720,6953,9802031047206953,980200001694,NULL
45,98020,98020,1695,5884510,8255,9802058845108255,980200001695,NULL
45,98020,98020,1696,2536240,4946,9802025362404946,980200001696,NULL
45,98020,98020,1697,0091498,0404,9802000914980404,980200001697,NULL
45,98020,98020,1698,2726666,8709,9802027266668709,980200001698,NULL
45,98020,98020,1699,1644385,7012,9802016443857012,980200001699,NULL
45,98020,98020,1700,8922863,8253,9802089228638253,980200001700,NULL
45,98020,98020,1701,3128085,7363,9802031280857363,980200001701,NULL
45,98020,98020,1702,0908593,4819,9802009085934819,980200001702,NULL
45,98020,98020,1703,5372649,4205,9802053726494205,980200001703,NULL
45,98020,98020,1704,4390408,6931,9802043904086931,980200001704,NULL
45,98020,98020,1705,6186225,8482,9802061862258482,980200001705,NULL
